a,b,c,d,e,f,g,h,class
0,92,0,56,31,36,35,0,1
0,77,0,6,6,40,72,32,1
0,77,0,34,10,41,44,2,1
4,86,4,44,13,43,42,0,1
-5,78,0,38,-16,37,39,2,1
0,86,8,46,0,39,40,0,1
0,82,0,44,-28,37,38,2,1
0,106,-2,34,1,68,72,4,1
0,78,5,24,-5,22,55,32,4
0,79,5,38,0,40,41,0,1
0,88,-1,42,-4,48,47,0,1
0,99,-1,28,-3,61,70,8,1
-4,78,0,42,2,37,37,0,1
-5,81,-6,46,0,33,34,0,1
0,95,0,46,-14,40,49,8,4
0,79,0,16,18,42,63,22,1
-4,79,0,38,0,39,41,2,1
1,78,0,38,-24,37,39,2,1
-1,80,0,38,-13,39,41,2,1
0,78,0,8,19,22,70,48,4
0,83,0,56,7,27,26,0,1
-203,106,0,36,8,69,69,0,1
5,77,0,50,0,26,28,2,1
0,81,2,46,-11,33,35,2,1
0,86,0,46,13,40,39,0,1
0,84,3,44,0,39,40,2,1
3,78,0,42,2,37,37,0,1
-4,88,-3,56,0,31,31,0,1
2,84,0,56,0,25,27,2,1
1,83,7,46,0,37,37,0,1
1,78,0,44,9,34,34,0,1
0,86,-4,42,-6,42,44,2,1
4,77,0,38,14,39,38,0,1
-4,99,2,46,0,43,52,10,4
0,81,-6,46,0,33,35,2,1
0,87,0,-40,5,4,128,124,5
0,79,0,42,-17,35,37,2,1
3,81,0,56,0,24,24,0,1
-5,107,0,44,-24,62,63,2,1
-2,77,0,38,0,37,38,2,1
0,76,0,-14,8,20,92,72,4
0,87,0,50,1,38,38,0,1
0,97,0,52,6,41,45,4,4
0,79,0,16,23,23,63,40,4
0,74,0,30,18,37,43,6,1
0,80,0,36,-16,43,44,2,1
1,81,0,54,571,27,26,0,1
0,76,0,44,-14,30,32,2,1
0,79,-3,38,0,39,41,2,1
-5,81,2,36,0,44,44,0,1
0,80,1,36,0,43,44,0,1
0,76,-2,38,-4,37,37,0,1
0,85,0,54,-1,30,31,2,1
0,91,1,50,0,41,42,0,1
0,76,6,34,26,39,43,4,1
0,79,0,44,-24,34,35,2,1
-2,89,0,56,0,33,32,0,1
0,79,0,6,8,42,74,32,1
2,77,0,42,18,36,36,0,1
4,82,0,42,0,40,41,0,1
0,83,3,46,0,36,37,0,1
-3,83,0,50,0,34,34,0,1
0,76,0,24,31,39,52,14,1
-3,76,0,46,9,31,30,0,1
-2,77,0,46,-1,29,31,2,1
0,83,-2,44,-3,37,39,2,1
0,78,0,24,-3,22,55,32,4
-1,96,-3,50,-21,41,47,6,4
0,82,0,50,20,33,33,0,1
0,79,0,36,28,41,43,2,1
4,88,0,52,21,37,37,0,1
0,83,0,56,25,27,26,0,1
3,90,0,44,26,47,46,0,1
1,86,0,38,0,47,47,0,1
0,95,-6,44,0,40,51,12,4
0,77,-3,50,0,28,28,0,1
0,82,0,-24,-28,26,108,82,4
-2,92,0,44,0,48,48,0,1
0,76,0,26,21,40,50,10,1
-4,84,0,56,0,26,27,0,1
0,83,0,-4,-13,46,88,42,1
5,79,0,46,15,33,32,0,1
0,96,0,38,20,59,57,0,1
0,75,0,38,0,37,36,0,1
0,94,0,8,-20,57,86,30,1
0,86,-7,38,0,45,47,2,1
0,83,0,46,19,37,36,0,1
4,86,-1,52,0,33,34,0,1
0,90,0,8,5,52,82,30,1
0,77,0,8,5,40,69,28,1
-2,106,-3,72,1,1,33,32,5
0,77,0,-22,-4,21,100,80,4
-2,87,0,44,-14,42,43,2,1
1,86,1,46,0,40,40,0,1
-1,81,0,38,-20,40,42,2,1
0,86,0,52,-14,33,34,0,1
0,88,-7,46,-53,42,41,0,1
2,85,-2,38,0,46,46,0,1
-5,81,0,-40,0,4,122,118,5
0,92,0,24,4,55,69,14,1
