num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
227,236,57,204,21,1,1,0,0
59,7,0,56,3,0,0,0,0
139,2609,154,108,17,4,2,7,1
14,0,0,14,0,0,0,0,0
93,440,165,50,30,3,7,3,0
16,1,1,16,0,0,0,0,0
509,1776,138,381,123,4,1,0,0
564,20990,154,473,82,3,3,3,0
270,8,0,265,4,1,0,0,0
182,353,126,125,50,2,4,0,1
179,495,144,162,14,1,0,1,1
3,0,0,3,0,0,0,0,0
386,1912,394,246,137,1,2,0,0
240,7,0,240,0,0,0,0,0
191,6,0,191,0,0,0,0,0
21,1,2,21,0,0,0,0,0
7,0,0,7,0,0,0,0,0
27,1,2,27,0,0,0,0,0
984,5166,690,768,200,4,11,0,1
59,5,0,59,0,0,0,0,0
5,18,0,5,0,0,0,0,0
80,7,0,80,0,0,0,0,0
26,0,0,26,0,0,0,0,0
24,8,0,24,0,0,0,0,0
86,0,0,85,1,0,0,0,0
744,80,10,737,1,6,0,0,0
14,1,0,14,0,0,0,0,0
152,2,0,149,3,0,0,0,0
11,0,0,11,0,0,0,0,0
173,477,204,101,68,0,2,0,2
715,18,6,715,0,0,0,0,0
236,703,141,155,76,2,3,0,0
985,71,42,962,5,16,2,0,0
4,0,0,4,0,0,0,0,0
42,3,0,39,0,0,0,0,3
128,3,0,124,4,0,0,0,0
1,0,0,1,0,0,0,0,0
1259,211,78,1259,0,0,0,0,0
50,1,0,50,0,0,0,0,0
593,309,23,484,99,1,4,4,1
15,0,0,15,0,0,0,0,0
99,0,3,98,1,0,0,0,0
603,13,1,603,0,0,0,0,0
219,590,125,160,55,1,2,0,1
239,2,4,238,1,0,0,0,0
360,131,5,292,60,1,5,1,1
8,15,0,8,0,0,0,0,0
13,0,0,12,1,0,0,0,0
1931,26,0,1931,0,0,0,0,0
12,0,0,12,0,0,0,0,0
1,0,0,1,0,0,0,0,0
266,7,3,265,1,0,0,0,0
13,0,0,13,0,0,0,0,0
56,9,1,56,0,0,0,0,0
256,535,52,220,34,0,2,0,0
553,15,0,538,12,3,0,0,0
15,3,0,15,0,0,0,0,0
15,18,0,15,0,0,0,0,0
2639,1625,675,1753,657,68,157,0,4
169,34,1,148,17,4,0,0,0
8,0,0,8,0,0,0,0,0
16,0,0,14,1,0,1,0,0
33,130,5,25,6,1,1,0,0
17,0,1,16,1,0,0,0,0
164,6,0,164,0,0,0,0,0
49,0,0,49,0,0,0,0,0
4,1,0,4,0,0,0,0,0
75,3,1,74,0,0,1,0,0
320,7,0,320,0,0,0,0,0
42,2,1,41,1,0,0,0,0
22,12,2,22,0,0,0,0,0
22,0,0,22,0,0,0,0,0
412,1680,553,255,153,2,2,0,0
14,0,0,14,0,0,0,0,0
74,14,0,74,0,0,0,0,0
508,12,3,499,8,0,1,0,0
139,627,53,123,14,1,1,0,0
340,11,0,340,0,0,0,0,0
193,182,12,183,10,0,0,0,0
956,6,0,956,0,0,0,0,0
4,1,0,4,0,0,0,0,0
17,2,2,17,0,0,0,0,0
62,11,0,61,1,0,0,0,0
45,0,1,45,0,0,0,0,0
96,8,0,96,0,0,0,0,0
37,8,0,37,0,0,0,0,0
19,0,0,17,1,1,0,0,0
55,12,0,55,0,0,0,0,0
320,2021,362,202,114,2,2,0,0
36,16,0,36,0,0,0,0,0
0,0,0,0,0,0,0,0,0
113,79,9,109,4,0,0,0,0
13,0,0,13,0,0,0,0,0
28,0,0,28,0,0,0,0,0
4,0,0,4,0,0,0,0,0
69,4,2,66,2,1,0,0,0
126,0,1,125,1,0,0,0,0
0,0,0,0,0,0,0,0,0
27,2,0,27,0,0,0,0,0
49,7,0,49,0,0,0,0,0
62,8,1,59,2,1,0,0,0
353,6,0,353,0,0,0,0,0
16,0,3,16,0,0,0,0,0
18,0,0,18,0,0,0,0,0
17,0,0,17,0,0,0,0,0
110,7,0,104,3,3,0,0,0
24,0,0,24,0,0,0,0,0
62,0,0,62,0,0,0,0,0
3,0,0,3,0,0,0,0,0
20,1,0,20,0,0,0,0,0
2,0,0,2,0,0,0,0,0
53,36,0,53,0,0,0,0,0
24,30,0,24,0,0,0,0,0
91,91,277,78,13,0,0,0,0
29,0,0,29,0,0,0,0,0
23,0,0,23,0,0,0,0,0
7,0,0,7,0,0,0,0,0
177,505,73,150,24,0,3,0,0
10,0,0,10,0,0,0,0,0
29,4,0,29,0,0,0,0,0
17,0,1,15,1,1,0,0,0
57,0,0,56,1,0,0,0,0
23,2,2,23,0,0,0,0,0
268,1820,298,180,85,1,2,0,0
1915,74,103,1915,0,0,0,0,0
12,0,0,12,0,0,0,0,0
2105,19,1,2105,0,0,0,0,0
14,14,0,14,0,0,0,0,0
19,0,0,19,0,0,0,0,0
1,0,0,1,0,0,0,0,0
166,0,0,162,3,1,0,0,0
33,8,0,33,0,0,0,0,0
278,583,72,223,53,2,0,0,0
97,104,3,95,2,0,0,0,0
43,0,0,43,0,0,0,0,0
325,77,21,293,30,1,1,0,0
184,11,0,184,0,0,0,0,0
18,13,0,18,0,0,0,0,0
5,0,0,5,0,0,0,0,0
24,0,1,23,1,0,0,0,0
19,1,0,19,0,0,0,0,0
1,0,0,1,0,0,0,0,0
27,9,0,27,0,0,0,0,0
29,0,0,29,0,0,0,0,0
1,0,1,1,0,0,0,0,0
14,0,0,14,0,0,0,0,0
699,10,2,699,0,0,0,0,0
100,382,41,82,16,1,1,0,0
15,0,0,15,0,0,0,0,0
2791,10,0,2791,0,0,0,0,0
319,3053,403,213,98,4,2,2,0
3,0,0,3,0,0,0,0,0
53,0,2,53,0,0,0,0,0
256,261,12,253,3,0,0,0,0
38,6,3,38,0,0,0,0,0
0,0,0,0,0,0,0,0,0
226,4336,183,186,25,3,10,2,0
53,10,6,49,2,2,0,0,0
25,8,0,25,0,0,0,0,0
500,16,0,500,0,0,0,0,0
22,0,0,22,0,0,0,0,0
174,11,0,174,0,0,0,0,0
13,0,0,13,0,0,0,0,0
391,4,0,387,4,0,0,0,0
103,330,152,84,17,0,1,0,1
50,0,0,44,0,0,6,0,0
19,0,0,19,0,0,0,0,0
15,0,0,15,0,0,0,0,0
64,0,0,64,0,0,0,0,0
79,0,0,77,1,1,0,0,0
7,0,0,7,0,0,0,0,0
2999,281,87,2999,0,0,0,0,0
95,3,2,90,2,3,0,0,0
273,69,5,260,6,7,0,0,0
119,4,0,116,3,0,0,0,0
293,2762,229,215,74,1,2,0,1
358,1,0,358,0,0,0,0,0
251,18,2,246,3,2,0,0,0
1,1,0,0,1,0,0,0,0
92,9,0,92,0,0,0,0,0
52,0,0,52,0,0,0,0,0
21,6,1,21,0,0,0,0,0
24,0,0,24,0,0,0,0,0
8,0,0,8,0,0,0,0,0
279,10,0,279,0,0,0,0,0
12,0,0,12,0,0,0,0,0
41,7,0,41,0,0,0,0,0
67,276,34,57,7,0,3,0,0
2112,28,2,2112,0,0,0,0,0
1,0,0,0,1,0,0,0,0
36,6,0,35,1,0,0,0,0
722,9,1,722,0,0,0,0,0
43,0,0,43,0,0,0,0,0
253,1051,334,155,93,1,3,0,1
21,1,0,21,0,0,0,0,0
28,5,0,28,0,0,0,0,0
274,9,0,260,11,2,1,0,0
63,9,0,63,0,0,0,0,0
529,226,5,515,5,9,0,0,0
14,0,0,14,0,0,0,0,0
2297,14,0,2297,0,0,0,0,0
63,5,0,58,0,0,2,2,1
23,0,0,23,0,0,0,0,0
126,266,72,77,48,0,1,0,0
185,519,301,134,46,0,4,1,0
15,0,5,15,0,0,0,0,0
68,2,0,66,2,0,0,0,0
60,4,0,60,0,0,0,0,0
21,1,0,21,0,0,0,0,0
10,0,1,10,0,0,0,0,0
173,1773,105,153,17,1,1,1,0
0,0,0,0,0,0,0,0,0
6,0,2,6,0,0,0,0,0
66,659,108,61,4,0,0,1,0
245,477,61,210,31,2,2,0,0
21,0,0,21,0,0,0,0,0
3,0,0,3,0,0,0,0,0
429,88,0,415,3,10,1,0,0
2,0,0,2,0,0,0,0,0
0,0,0,0,0,0,0,0,0
97,177,210,48,49,0,0,0,0
10,1,0,10,0,0,0,0,0
171,595,273,121,48,0,0,2,0
26,2,0,26,0,0,0,0,0
1704,21,3,1685,15,2,2,0,0
317,8,1,313,3,1,0,0,0
96,214,0,96,0,0,0,0,0
15,0,1,11,2,1,1,0,0
1611,2314,1041,1139,316,104,50,2,0
922,5,0,922,0,0,0,0,0
34,8,0,33,1,0,0,0,0
116,24,0,116,0,0,0,0,0
14,0,0,14,0,0,0,0,0
165,0,52,161,1,2,1,0,0
3,0,0,3,0,0,0,0,0
9,0,0,9,0,0,0,0,0
27,1,0,27,0,0,0,0,0
17,3,1,17,0,0,0,0,0
1566,31,2,1566,0,0,0,0,0
17,0,0,17,0,0,0,0,0
75,3,0,74,0,1,0,0,0
62,7,0,62,0,0,0,0,0
450,4,0,450,0,0,0,0,0
9,0,0,9,0,0,0,0,0
321,1381,67,275,44,1,1,0,0
38,4,0,38,0,0,0,0,0
16,3,0,16,0,0,0,0,0
53,7,0,53,0,0,0,0,0
221,1,0,211,0,8,0,2,0
4,0,0,4,0,0,0,0,0
955,63,5,936,9,10,0,0,0
13,0,0,13,0,0,0,0,0
300,1000,114,230,67,0,3,0,0
566,10,0,548,4,14,0,0,0
1886,2059,544,1437,407,13,24,1,4
572,10,0,572,0,0,0,0,0
496,18,0,478,16,2,0,0,0
82,4,19,82,0,0,0,0,0
325,536,20,316,6,3,0,0,0
11,0,0,11,0,0,0,0,0
16,0,0,15,1,0,0,0,0
345,1019,162,237,105,0,2,1,0
89,8,0,89,0,0,0,0,0
43,1,2,41,2,0,0,0,0
37,0,6,37,0,0,0,0,0
